2020-01-17 18:29:25 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-17 18:29:27 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13228, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-17 18:29:27 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'
2020-01-17 18:29:28 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13228, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-17 18:29:28 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'
2020-01-17 18:29:28 *ERROR*      Failed to inject image using default injection, status: 0xC000010E

2020-01-17 18:46:57 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-17 18:46:58 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 1996, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-17 18:46:58 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-17 19:52:34 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-17 19:52:35 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15740, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-17 19:52:35 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-18 11:07:23 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-18 11:07:25 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 12256, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-18 11:07:25 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-18 16:40:56 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-18 16:55:24 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 5380, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-18 16:55:24 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'
2020-01-18 17:04:35 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 5380, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-18 17:04:35 *ERROR*      Can not attach to the process.
Ett försök gjordes att använda en befintlig process.

2020-01-18 17:04:47 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 1560, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-18 17:04:47 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-18 17:40:49 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-18 17:40:50 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 3156, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-18 17:40:50 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-19 11:59:56 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-19 11:59:59 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 11804, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-19 11:59:59 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-19 12:48:55 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-19 12:48:56 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 14516, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-19 12:48:56 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

